16thcenturyenglish|16th-Century English|16th-Century English|16th-Century English|Composer|
16thcenturyfrench|16th-Century French|16th-Century French|16th-Century French|Composer|Renaissance
aarhussymphonyorchestra|Aarhus Symphony Orchestra|Aarhus Symphony Orchestra||Orchestra|
aaroncopland|Aaron Copland|Copland, Aaron|Copland, Aaron (1900-1990)|Composer|20th Century
aaronjaykernis|Aaron Jay Kernis|Kernis, Aaron Jay|Kernis, Aaron Jay (b1958)|Composer|20th Century
aaronlewis|Aaron Lewis|Lewis, Aaron|Lewis, Aaron|Composer|
abbatini|Antonio Maria Abbatini|Abbatini, Antonio Maria|Abbatini, Antonio Maria (c1595-1680)|Composer|Baroque
abel|Carl Friedrich Abel|Abel, Carl Friedrich|Abel, Carl Friedrich (1723-1787)|Composer|Classical
abell|John Abell|Abell, John|Abell, John (1653-after 1724)|Composer|Baroque
abos|Girolamo Abos|Abos, Girolamo|Abos, Girolamo (1715-1760)|Composer|Classical
abrahamcaceres|Abraham Caceres|Caceres, Abraham|Caceres, Abraham (1718-1740)|Composer|Baroque
abrahammegerle|Abraham Megerle|Megerle, Abraham|Megerle, Abraham (1607-1680)|Composer|Baroque
abrahamvandenkerckhoven|Abraham van den Kerckhoven|Kerckhoven, Abraham van den|Kerckhoven, Abraham van den (c1618-c1701)|Composer|Baroque
abrams|Harriett Abrams|Abrams, Harriett|Abrams, Harriett (1758-1821)|Composer|Classical
abundioantonelli|Abundio Antonelli|Antonelli, Abundio|Antonelli, Abundio (c1575?-c1629)|Composer|Baroque
academyofancientmusic|Academy Of Ancient Music|Academy Of Ancient Music||Orchestra|
academyofstmartininthefieldsthe|Academy of St. Martin-in-the-Fields|Academy of St. Martin-in-the-Fields||Orchestra|
academyofstmartininthefields|Academy of St. Martin-in-the-Fields|Academy of St. Martin-in-the-Fields||Orchestra|
adalbertgyrowetz|Adalbert Gyrowetz|Gyrowetz, Adalbert|Gyrowetz, Adalbert (1763-1850)|Composer|Classical
adam|Adolphe Adam|Adam, Adolphe|Adam, Adolphe (1803-1856)|Composer|Romantic
adamdrese|Adam Drese|Drese, Adam|Drese, Adam (c1620-1701)|Composer|Baroque
adamduritz|Adam Duritz|Duritz, Adam|Duritz, Adam|Composer|
adamfalckenhagen|Adam Falckenhagen|Falckenhagen, Adam|Falckenhagen, Adam (1697-1754)|Composer|Classical
adamgontier|Adam Gontier|Gontier, Adam|Gontier, Adam|Composer|
adamjarzębski|Adam Jarzębski|Jarzębski, Adam|Jarzębski, Adam (c1590-c1648)|Composer|Baroque
adamklemens|Adam Klemens|Klemens, Adam||Conductor|
adamkrieger|Adam Krieger|Krieger, Adam|Krieger, Adam (1634-1666)|Composer|Baroque
englishconsort|The English Consort|English Consort, The|English Consort, The|Orchestra|
englishconsortthe|The English Consort|English Consort, The|English Consort, The|Orchestra|
theenglishconsort|The English Consort|English Consort, The|English Consort, The|Orchestra|
adamlohrbach|Adam Lohrbach|Lohrbach, Adam|Lohrbach, Adam|Composer|
adamvaclavmichnazotradovic|Adam Václav Michna z Otradovic|Otradovic, Adam Václav Michna z|Otradovic, Adam Václav Michna z (c1600-1676)|Composer|Baroque
adamvalentinvolckmar|Adam Valentin Volckmar|Volckmar, Adam Valentin|Volckmar, Adam Valentin (1770-1851)|Composer|Romantic
adamzwągrowca|Adam z Wągrowca|Wągrowca, Adam z|Wągrowca, Adam z (died 1629)|Composer|Baroque
addison|John Addison|Addison, John|Addison, John (c1765-1844)|Composer|Classical
adelheidmariaeichner|Adelheid Maria Eichner|Eichner, Adelheid Maria|Eichner, Adelheid Maria (1762-1787)|Composer|Classical
adlgasser|Anton Cajetan Adlgasser|Adlgasser, Anton Cajetan|Adlgasser, Anton Cajetan (1729-1777)|Composer|Classical
adolfvonhenselt|Adolf von Henselt|Henselt, Adolf von|Henselt, Adolf von (1814-1889)|Composer|Romantic
adolphcarlkunzen|Adolph Carl Kunzen|Kunzen , Adolph Carl|Kunzen , Adolph Carl (1720-1781)|Composer|Classical
adolpheadam|Adolphe Adam|Adam, Adolphe|Adam, Adolphe (1803-1856)|Composer|Romantic
adolpheblanc|Adolphe Blanc|Blanc, Adolphe|Blanc, Adolphe (1828-1885)|Composer|Romantic
adriaenssen|Emmanuel Adriaenssen|Adriaenssen, Emmanuel|Adriaenssen, Emmanuel (1554-1604)|Composer|Baroque
adrianabasile|Adriana Basile|Basile, Adriana|Basile, Adriana (c1580-c1640)|Composer|Baroque
adrianboult|Adrian Boult|Boult, Adrian||Conductor|
